Year,Month,Arrivals,PercentageChange
2014,January,146575,6.6
2014,February,141878,16.7
2014,March,133048,18.0
2014,April,112631,8.5
2014,May,90046,26.1
2014,June,103175,11.9
2014,July,133971,31.2
2014,August,140319,18.7
2014,September,105535,35.9
2014,October,121576,8.8
2014,November,119727,20.4
2014,December,178672,15.4
2015,January,156246,6.6
2015,February,165541,16.7
2015,March,157051,18.0
2015,April,122217,8.5
2015,May,113529,26.1
2015,June,115467,11.9
2015,July,175804,31.2
2015,August,166610,18.7
2015,September,143374,35.9
2015,October,132280,8.8
2015,November,144147,20.4
2015,December,206114,15.4
2016,January,194280,24.3
2016,February,197697,19.4
2016,March,192841,22.8
2016,April,136367,11.6
2016,May,125044,10.1
2016,June,118038,2.2
2016,July,209351,19.1
2016,August,186288,11.8
2016,September,148499,3.6
2016,October,150419,13.7
2016,November,167217,16.0
2016,December,224791,9.1
2017,January,219360,12.9
2017,February,197517,-0.1
2017,March,188076,-2.5
2017,April,160249,17.5
2017,May,121891,-2.5
2017,June,123351,4.5
2017,July,205482,-1.8
2017,August,190928,2.5
2017,September,145077,-2.3
2017,October,152429,1.3
2017,November,167511,0.2
2017,December,244536,8.8
2018,January,238924,8.9
2018,February,235618,19.3
2018,March,233382,24.1
2018,April,180429,12.6
2018,May,129466,6.2
2018,June,146828,19.0
2018,July,217829,6.0
2018,August,200359,4.9
2018,September,149087,2.8
2018,October,153123,0.5
2018,November,195582,16.8
2018,December,253169,3.5
2019,January,244239,2.2
2019,February,252033,7.0
2019,March,244328,4.7
2019,April,166975,-7.5
2019,May,37802,-70.8
2019,June,63072,-57.0
2019,July,115701,-46.9
2019,August,143587,-28.3
2019,September,108575,-27.2
2019,October,118743,-22.5
2019,November,176984,-9.5
2019,December,241663,-4.5
2020,January,228434,-6.5
2020,February,207507,-17.7
2020,March,71370,-70.8
2020,April,0,-100.0
2020,May,0,-100.0
2020,June,0,-100.0
2020,July,0,-100.0
2020,August,0,-100.0
2020,September,0,-100.0
2020,October,0,-100.0
2020,November,0,-100.0
2020,December,393,-99.8
2021,January,1682,-99.3
2021,February,3366,-98.4
2021,March,4581,-93.6
2021,April,4168,
2021,May,1497,
2021,June,1614,
2021,July,2429,
2021,August,5040,
2021,September,13547,
2021,October,22771,
2021,November,44294,
2021,December,89506,22674.8
2022,January,82327,4794.6
2022,February,96507,2767.1
2022,March,106500,2224.8
2022,April,62980,1411.0
2022,May,30207,1917.8
2022,June,32856,1935.7
2022,July,47293,1847.1
2022,August,37760,649.2
2022,September,29802,119.9
2022,October,42026,84.5
2022,November,59759,34.9
2022,December,91961,2.7
2023,January,102545,24.5
2023,February,107639,11.5
2023,March,125495,17.8
2023,April,105498,67.5
2023,May,83309,175.8
2023,June,100388,205.5
2023,July,143039,202.4
2023,August,136405,261.2
2023,September,111938,275.6
2023,October,109199,159.8
2023,November,151496,153.5
2023,December,210352,128.7
2024,January,208253,103.1
2024,February,218350,102.1
2024,March,209181,66.7
2024,April,148867,41.1
2024,May,112128,34.6
2024,June,113470,13.0
2024,July,187810,31.3
2024,August,164609,20.7
